Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,Brand,isFIFA,isSuperMario,isGTA,isPokemon,isCOD,isNFS,FIFASales,MarioSales,GTASales,PokeSales,CODSales,NFSSales,NA_Mil_Sales,EU_Mil_Sales,JP_Mil_Sales,Other_Mil_Sales,Global_Mil_Sales,Genre_Filtered,NOT_NA_MIL
4436,G-Force,Wii,2009,Action,Disney Interactive Studios,0.19,0.2,0,0.05,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,190000,200000,5452,50000,440000,Action,250000
4437,Ben 10 Alien Force: Vilgax Attacks,Wii,2009,Action,D3Publisher,0.25,0.15,0,0.04,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,250000,150000,533,40000,440000,Action,190000
4438,50 Cent: Bulletproof,XB,2005,Action,Vivendi Games,0.33,0.1,0,0.02,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,330000,100000,5879,20000,440000,Action,110000
4439,Densetsu no Stafi 2,GBA,2003,Platform,Nintendo,0,0,0.43,0.01,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,9493,5887,430000,10000,440000,Platfrom,430507
4440,Independence Day,PS,1997,Shooter,Fox Interactive,0.25,0.17,0,0.03,0.44,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,250000,170000,8131,30000,440000,Shooter,190000
4441,Need for Speed: Shift 2 Unleashed,X360,2011,Racing,Electronic Arts,0.18,0.22,0,0.04,0.44,10s,Need for Speed,0,0,0,0,0,1,0,0,0,0,0,0.44,180000,220000,7132,40000,440000,Racing,260000
4442,Chocobo Racing,PS,1999,Racing,SquareSoft,0.07,0.05,0.3,0.03,0.44,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,70000,50000,300000,30000,440000,Racing,370000
4443,Ninja Gaiden 3,PS3,2012,Action,Tecmo Koei,0.19,0.1,0.11,0.05,0.44,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,190000,100000,110000,50000,440000,Action,250000
4444,Child of Eden,X360,2011,Shooter,Ubisoft,0.28,0.12,0,0.04,0.44,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,280000,120000,5624,40000,440000,Shooter,160000
4445,LEGO Star Wars II: The Original Trilogy,XB,2006,Action,LucasArts,0.33,0.1,0,0.02,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,330000,100000,291,20000,440000,Action,110000
4446,Family Fest Presents Circus Games,Wii,2008,Misc,Ubisoft,0.1,0.29,0,0.05,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,100000,290000,562,50000,440000,Other,340000
4447,My Spanish Coach,DS,2007,Misc,Ubisoft,0.4,0.01,0,0.03,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,400000,10000,321,30000,440000,Other,40000
4448,The Darkness,X360,2007,Shooter,Take-Two Interactive,0.36,0.04,0.01,0.04,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,360000,40000,10000,40000,440000,Shooter,80000
4449,Gundam SEED: Federation vs. Z.A.F.T.,PS2,2005,Shooter,Namco Bandai Games,0,0,0.44,0,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,826,8324,440000,4732,440000,Shooter,439174
4450,Ms. Pac-Man Maze Madness,PS,2000,Puzzle,Namco Bandai Games,0.25,0.17,0,0.03,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,250000,170000,4367,30000,440000,Other,190000
4451,Blood Omen: Legacy of Kain,PS,1996,Role-Playing,Crystal Dynamics,0.25,0.17,0,0.03,0.44,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,250000,170000,4144,30000,440000,Role-Playing,190000
4452,Super Bomberman 4,SNES,1996,Puzzle,Hudson Soft,0,0,0.44,0,0.44,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,8124,9153,440000,5155,440000,Other,431876
4453,Bomberman II,NES,1991,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1,0.44,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,160000,30000,150000,100000,440000,Other,280000
4454,Duke Nukem 64,N64,1997,Shooter,GT Interactive,0.35,0.08,0,0.01,0.44,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,350000,80000,3346,10000,440000,Shooter,90000
4455,Sin and Punishment: Star Successor,Wii,2009,Shooter,Nintendo,0.2,0.14,0.06,0.04,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,200000,140000,60000,40000,440000,Shooter,240000
4456,Jump Start Pet Rescue,Wii,2009,Misc,Knowledge Adventure,0.41,0,0,0.03,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,410000,4859,4208,30000,440000,Other,30000
4457,Naughty Bear,PS3,2010,Action,505 Games,0.18,0.18,0,0.07,0.44,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,180000,180000,5579,70000,440000,Action,260000
4458,"SpongeBob SquarePants: Lights, Camera, Pants!",GC,2005,Misc,THQ,0.34,0.09,0,0.01,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,340000,90000,8966,10000,440000,Other,100000
4459,Super Robot Taisen OG: Original Generations,PS2,2007,Strategy,Banpresto,0,0,0.44,0,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,8302,163,440000,2225,440000,Other,431698
4460,Army Men World War: Final Front,PS,2001,Action,3DO,0.24,0.17,0,0.03,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,240000,170000,7597,30000,440000,Action,200000
4461,Petz: Horsez 2,DS,2007,Simulation,Ubisoft,0.41,0,0,0.03,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,410000,6750,1251,30000,440000,Other,30000
4462,Puppy Luv: Spa and Resort,DS,2007,Simulation,Activision,0.4,0,0,0.03,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,400000,4572,843,30000,440000,Other,40000
4463,Yu-Gi-Oh! 5D's Tag Force 4,PSP,2009,Strategy,Konami Digital Entertainment,0.19,0.07,0.12,0.06,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,190000,70000,120000,60000,440000,Other,250000
4464,MX Unleashed,XB,2004,Racing,THQ,0.34,0.08,0,0.02,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,340000,80000,9270,20000,440000,Racing,100000
4465,Jikkyou Powerful Pro Yakyuu 9,PS2,2002,Sports,Konami Digital Entertainment,0,0,0.44,0,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,491,7253,440000,2570,440000,Sports,439509
4466,Grind Session,PS,2000,Sports,Sony Computer Entertainment,0.24,0.17,0,0.03,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,240000,170000,2119,30000,440000,Sports,200000
4467,Naruto: Gekito Ninja Taisen! 3,GC,2004,Fighting,Tomy Corporation,0,0,0.43,0.01,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,6265,2324,430000,10000,440000,Other,433735
4468,Barbie: Groom and Glam Pups,DS,2010,Action,THQ,0.26,0.14,0,0.04,0.44,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,260000,140000,5144,40000,440000,Action,180000
4469,Wario World,GC,2003,Platform,Nintendo,0.34,0.09,0,0.01,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,340000,90000,9068,10000,440000,Platfrom,100000
4470,Scooby-Doo! Mystery Mayhem,GBA,2003,Action,THQ,0.31,0.12,0,0.01,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,310000,120000,9632,10000,440000,Action,130000
4472,Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,PS2,2003,Misc,Namco Bandai Games,0,0,0.44,0,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,1497,1220,440000,6966,440000,Other,438503
4473,Deer Drive,DS,2010,Sports,Mastiff,0.41,0,0,0.02,0.44,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,410000,7139,9091,20000,440000,Sports,30000
4475,Just Dance 4,PS3,2012,Misc,Ubisoft,0.26,0.12,0,0.06,0.44,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,260000,120000,8767,60000,440000,Other,180000
4476,TimeSplitters 2,GC,2002,Shooter,Eidos Interactive,0.34,0.09,0,0.01,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,340000,90000,4708,10000,440000,Shooter,100000
4477,Battlebots: Design & Destroy,GBA,2003,Action,Majesco Entertainment,0.31,0.12,0,0.01,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,310000,120000,4849,10000,440000,Action,130000
4478,Devil May Cry HD Collection,X360,2012,Action,Capcom,0.28,0.11,0.01,0.03,0.44,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,280000,110000,10000,30000,440000,Action,160000
4479,Eternal Darkness: Sanity's Requiem,GC,2002,Adventure,Nintendo,0.34,0.09,0,0.01,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,340000,90000,2280,10000,440000,Other,100000
4480,Power Rangers: S.P.D.,GBA,2004,Action,THQ,0.31,0.12,0,0.01,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,310000,120000,1630,10000,440000,Action,130000
4481,Naruto: Ultimate Ninja 3,PS2,2005,Fighting,Atari,0.36,0.01,0,0.06,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,360000,10000,8498,60000,440000,Other,80000
4482,SingStar Motown,PS2,2009,Misc,Sony Computer Entertainment,0,0.06,0,0.38,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,1473,60000,963,380000,440000,Other,438527
4483,Neon Genesis Evangelion,SAT,1996,Adventure,Sega,0,0,0.44,0,0.44,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,7828,6136,440000,480,440000,Other,432172
4484,Nicktoons: Attack of the Toybots,Wii,2007,Platform,THQ,0.4,0,0,0.03,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,400000,6102,7584,30000,440000,Platfrom,40000
4485,Mobile Suit Gundam: One Year War,PS2,2005,Action,Namco Bandai Games,0,0,0.44,0,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,5666,6637,440000,2197,440000,Action,434334
4486,Tongari Boushi to Mahou no Otana,DS,2010,Simulation,Konami Digital Entertainment,0,0,0.44,0,0.44,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,9688,4079,440000,9343,440000,Other,430312
4487,NFL Blitz 20-03,PS2,2002,Sports,Midway Games,0.21,0.17,0,0.06,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,210000,170000,1298,60000,440000,Sports,230000
4488,Just Dance: Summer Party,Wii,2011,Misc,Ubisoft,0.41,0,0,0.03,0.44,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,410000,8115,9362,30000,440000,Other,30000
4489,SpongeBob's Atlantis SquarePantis,PS2,2007,Action,THQ,0.36,0.01,0,0.06,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,360000,10000,4795,60000,440000,Action,80000
4490,Dragon Ball Z: Shin Budokai - Another Road,PSP,2007,Fighting,Atari,0.19,0.09,0.08,0.07,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,190000,90000,80000,70000,440000,Other,250000
4491,Master of Illusion,DS,2006,Puzzle,Nintendo,0.16,0,0.26,0.01,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,160000,6419,260000,10000,440000,Other,280000
4492,Star Wars: Jedi Starfighter,XB,2002,Simulation,Activision,0.35,0.07,0,0.02,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,350000,70000,2131,20000,440000,Other,90000
4493,Remington Great American Bird Hunt,Wii,2009,Sports,Mastiff,0.41,0,0,0.03,0.44,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,410000,3789,817,30000,440000,Sports,30000
4494,Classic NES Series: Metroid,GBA,2004,Adventure,Nintendo,0.26,0.1,0.07,0.01,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,260000,100000,70000,10000,430000,Other,170000
4495,Alpha Protocol,PS3,2010,Role-Playing,Sega,0.19,0.18,0,0.07,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,190000,180000,4230,70000,430000,Role-Playing,240000
4496,Tetris Axis,3DS,2011,Puzzle,Tetris Online,0.2,0.13,0.06,0.03,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,200000,130000,60000,30000,430000,Other,230000
4497,Dora the Explorer: Dora Puppy,DS,2009,Misc,Take-Two Interactive,0.39,0.01,0,0.03,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,390000,10000,7466,30000,430000,Other,40000
4498,Primal,PS2,2003,Action,Sony Computer Entertainment,0.21,0.17,0,0.06,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,210000,170000,5446,60000,430000,Action,220000
4499,Madden NFL 2002,N64,2001,Sports,Electronic Arts,0.41,0.02,0,0,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,410000,20000,6764,8978,430000,Sports,20000
4500,Need for Speed Underground 2,GBA,2004,Racing,Electronic Arts,0.31,0.12,0,0.01,0.43,00s,Need for Speed,0,0,0,0,0,1,0,0,0,0,0,0.43,310000,120000,7379,10000,430000,Racing,120000
4501,007: Quantum of Solace,PS2,2008,Action,Activision,0.17,0,0,0.26,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,170000,7471,5005,260000,430000,Action,260000
4502,Spec Ops: Covert Assault,PS,2001,Shooter,Take-Two Interactive,0.24,0.16,0,0.03,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,240000,160000,5889,30000,430000,Shooter,190000
4503,SSX Tricky,XB,2001,Sports,Electronic Arts,0.32,0.09,0,0.02,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,320000,90000,8556,20000,430000,Sports,110000
4504,Flight Control Rocket,GBA,2005,Simulation,THQ,0.31,0.12,0,0.01,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,310000,120000,9516,10000,430000,Other,120000
4505,FIFA 14,PC,2013,Sports,Electronic Arts,0.01,0.36,0,0.06,0.43,10s,FIFA,1,0,0,0,0,0,0.43,0,0,0,0,0,10000,360000,8809,60000,430000,Sports,420000
4506,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,2005,Action,Disney Interactive Studios,0.36,0.01,0,0.06,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,360000,10000,2565,60000,430000,Action,70000
4507,Trials Fusion,PS4,2014,Racing,Ubisoft,0.13,0.21,0.01,0.08,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,130000,210000,10000,80000,430000,Racing,300000
4508,Wheel of Fortune,DS,2010,Misc,THQ,0.41,0,0,0.03,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,410000,4140,8687,30000,430000,Other,20000
4509,NiGHTS into dreams...,SAT,1996,Platform,Sega,0,0,0.43,0,0.43,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,77,4221,430000,2765,430000,Platfrom,429923
4510,NCAA Football 2004,XB,2003,Sports,Electronic Arts,0.4,0.02,0,0.02,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,400000,20000,2321,20000,430000,Sports,30000
4511,Overwatch,PC,2016,Shooter,Activision,0.22,0.18,0,0.04,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,220000,180000,359,40000,430000,Shooter,210000
4512,Rock Band 4,XOne,2015,Misc,Harmonix Music Systems,0.35,0.04,0,0.04,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,350000,40000,4231,40000,430000,Other,80000
4513,NBA Jam,Wii,2010,Sports,Electronic Arts,0.38,0.03,0,0.03,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,380000,30000,5700,30000,430000,Sports,50000
4514,Bionicle,PS2,2003,Action,Electronic Arts,0.21,0.17,0,0.06,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,210000,170000,9693,60000,430000,Action,220000
4515,Minecraft,WiiU,2016,Misc,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,180000,90000,140000,30000,430000,Other,250000
4516,MLB 2002,PS,2001,Sports,Sony Computer Entertainment,0.24,0.16,0,0.03,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,240000,160000,2200,30000,430000,Sports,190000
4517,Sleeping Dogs,PS4,2014,Action,Square Enix,0.16,0.2,0,0.07,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,160000,200000,4157,70000,430000,Action,270000
4518,TimeSplitters,PS2,2000,Shooter,Eidos Interactive,0.21,0.17,0,0.06,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,210000,170000,2690,60000,430000,Shooter,220000
4520,InuYasha: The Secret of the Cursed Mask,PS2,2004,Role-Playing,Namco Bandai Games,0.21,0.17,0,0.06,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,210000,170000,1211,60000,430000,Role-Playing,220000
4521,Rune Factory 3: A Fantasy Harvest Moon,DS,2009,Role-Playing,Rising Star Games,0.28,0.03,0.1,0.02,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,280000,30000,100000,20000,430000,Role-Playing,150000
4522,The Powerpuff Girls: Him and Seek,GBA,2002,Platform,BAM! Entertainment,0.31,0.11,0,0.01,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,310000,110000,2667,10000,430000,Platfrom,120000
4523,Mega Man Zero 2,GBA,2003,Platform,Capcom,0.18,0.07,0.17,0.01,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,180000,70000,170000,10000,430000,Platfrom,250000
4524,Wonder Project J: Kikai no Shonen Pino,SNES,1994,Simulation,Enix Corporation,0,0,0.43,0,0.43,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,6731,2897,430000,9836,430000,Other,423269
4525,2010 FIFA World Cup South Africa,Wii,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.43,10s,FIFA,1,0,0,0,0,0,0.43,0,0,0,0,0,230000,150000,10000,40000,430000,Sports,200000
4526,Atelier Totori: The Adventurer of Arland,PS3,2010,Role-Playing,Nippon Ichi Software,0.12,0.07,0.21,0.03,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,120000,70000,210000,30000,430000,Role-Playing,310000
4527,Spec Ops: The Line,X360,2012,Shooter,Take-Two Interactive,0.21,0.19,0,0.04,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,210000,190000,9978,40000,430000,Shooter,220000
4528,The Fairly Odd Parents: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.31,0.11,0,0.01,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,310000,110000,753,10000,430000,Other,120000
4529,Ghostbusters: The Video Game,PS2,2009,Action,Atari,0.15,0.04,0,0.24,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,150000,40000,568,240000,430000,Action,280000
4530,Hunter: The Reckoning  Wayward,PS2,2003,Action,Interplay,0.21,0.16,0,0.06,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,210000,160000,1431,60000,430000,Action,220000
4531,How to Train Your Dragon,Wii,2010,Action,Activision,0.24,0.15,0,0.04,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,240000,150000,7711,40000,430000,Action,190000
4532,Command & Conquer 3: Tiberium Wars,X360,2007,Strategy,Electronic Arts,0.35,0.05,0,0.03,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,350000,50000,920,30000,430000,Other,80000
4533,WipEout 64,N64,1998,Racing,Midway Games,0.28,0.14,0,0.01,0.43,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,280000,140000,3106,10000,430000,Racing,150000
4534,Mischief Makers,N64,1997,Platform,Nintendo,0.25,0.06,0.07,0.06,0.43,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,250000,60000,70000,60000,430000,Platfrom,180000
4535,Max Payne 3,PC,2012,Shooter,Take-Two Interactive,0.15,0.22,0,0.06,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,150000,220000,1031,60000,430000,Shooter,280000
4536,Petz Bunnyz,DS,2008,Simulation,Ubisoft,0.39,0.01,0,0.03,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,390000,10000,1583,30000,430000,Other,40000
4537,Castlevania: Portrait of Ruin,DS,2006,Platform,Konami Digital Entertainment,0.33,0.03,0.04,0.03,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,330000,30000,40000,30000,430000,Platfrom,100000
4539,EyeToy: AntiGrav,PS2,2004,Sports,Sony Computer Entertainment,0.36,0.01,0,0.06,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,360000,10000,9687,60000,430000,Sports,70000
4540,FIFA 14,Wii,2013,Sports,Electronic Arts,0,0.38,0,0.05,0.43,10s,FIFA,1,0,0,0,0,0,0.43,0,0,0,0,0,3152,380000,1076,50000,430000,Sports,426848
4541,EverQuest Online Adventures,PS2,2003,Role-Playing,Sony Online Entertainment,0.21,0.16,0,0.05,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,210000,160000,1132,50000,430000,Role-Playing,220000
4542,Cool Boarders,PS,1996,Sports,Sony Computer Entertainment,0.1,0.07,0.24,0.03,0.43,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,100000,70000,240000,30000,430000,Sports,330000
4543,"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,Adventure,ChunSoft,0.37,0,0.03,0.03,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,370000,84,30000,30000,430000,Other,60000
4544,Mobile Suit Gundam: Zeonic Front,PS2,2001,Simulation,Namco Bandai Games,0.09,0.07,0.25,0.02,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,90000,70000,250000,20000,430000,Other,340000
4545,Zone of the Enders HD Collection,PS3,2012,Simulation,Konami Digital Entertainment,0.21,0.08,0.09,0.05,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,210000,80000,90000,50000,430000,Other,220000
4546,Def Jam Icon,PS3,2007,Action,Electronic Arts,0.16,0.19,0,0.08,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,160000,190000,4302,80000,430000,Action,270000
4547,Tales of the World: Radiant Mythology,PSP,2006,Role-Playing,Ubisoft,0.17,0.01,0.23,0.02,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,170000,10000,230000,20000,430000,Role-Playing,260000
4548,Monopoly,PS2,2008,Misc,Electronic Arts,0.21,0.16,0,0.05,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,210000,160000,235,50000,430000,Other,220000
4549,Dawn of Mana,PS2,2006,Role-Playing,Square Enix,0.07,0.05,0.29,0.02,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,70000,50000,290000,20000,430000,Role-Playing,360000
4550,Microsoft Flight Simulator X,PC,2006,Simulation,Microsoft Game Studios,0.02,0.34,0,0.07,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,20000,340000,9786,70000,430000,Other,410000
4551,Lego Batman 3: Beyond Gotham,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.23,0.17,0,0.04,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,230000,170000,1511,40000,430000,Action,200000
4552,Madden NFL 2003,GC,2002,Sports,Electronic Arts,0.33,0.09,0,0.01,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,330000,90000,5444,10000,430000,Sports,100000
4553,NASCAR Kart Racing,Wii,2009,Racing,Electronic Arts,0.39,0,0,0.03,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,390000,2872,3253,30000,430000,Racing,40000
4554,Disney Sing It,X360,2008,Misc,Disney Interactive Studios,0.39,0.01,0,0.03,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,390000,10000,1508,30000,430000,Other,40000
4555,Backyard Baseball,GBA,2002,Sports,Atari,0.31,0.11,0,0.01,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,310000,110000,758,10000,430000,Sports,120000
4556,Call of Duty: Black Ops II,WiiU,2012,Shooter,Activision,0.21,0.18,0,0.03,0.43,10s,Call of Duty,0,0,0,0,1,0,0,0,0,0,0.43,0,210000,180000,6392,30000,430000,Shooter,220000
4557,TRON: Evolution,PS3,2010,Action,Disney Interactive Studios,0.27,0.1,0,0.05,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,270000,100000,3557,50000,430000,Action,160000
4558,Midway Arcade Treasures,XB,2003,Misc,Midway Games,0.33,0.08,0,0.01,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,330000,80000,5272,10000,430000,Other,100000
4559,Call of Duty: Modern Warfare: Mobilized,DS,2009,Shooter,Activision,0.37,0.02,0,0.03,0.43,00s,Call of Duty,0,0,0,0,1,0,0,0,0,0,0.43,0,370000,20000,5528,30000,430000,Shooter,60000
4560,Petz: Horsez 2,Wii,2007,Simulation,Ubisoft,0.39,0,0,0.03,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,390000,8142,1871,30000,430000,Other,40000
4561,The Smurfs,DS,2011,Action,Ubisoft,0.24,0.14,0,0.04,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,240000,140000,3493,40000,430000,Action,190000
4562,Bakugan: Battle Brawlers,PS2,2009,Action,Activision,0.21,0.16,0,0.05,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,210000,160000,4337,50000,430000,Action,220000
4563,NHL FaceOff 99,PS,1997,Sports,989 Studios,0.24,0.16,0,0.03,0.43,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,240000,160000,957,30000,430000,Sports,190000
4564,Skylanders: Trap Team,PS4,2014,Action,Activision,0.18,0.17,0,0.07,0.43,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,180000,170000,6217,70000,430000,Action,250000
4565,SEGA Classics Collection,PS2,2005,Misc,Sega,0.21,0.16,0,0.05,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,210000,160000,4623,50000,430000,Other,220000
4566,Pirates of the Caribbean: At World's End,PSP,2007,Action,Disney Interactive Studios,0.15,0.17,0,0.1,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,150000,170000,8003,100000,430000,Action,280000
4567,Juiced: Eliminator,PSP,2006,Racing,THQ,0.11,0.2,0,0.12,0.43,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,110000,200000,5639,120000,430000,Racing,320000
4568,Naruto: Ninja Council 3,DS,2006,Action,D3Publisher,0.39,0,0,0.03,0.42,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,390000,8631,1074,30000,420000,Action,30000
